epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,2.163752794265747,2.000943899154663,1.9932820796966553,0.15,0.118,0.103,0.002,0.118,0.103,0,Accuracy,higher,final,0
1,2.1230201721191406,1.9406083822250366,1.9325507879257202,0.2642857142857143,0.192,0.21,0.002,0.192,0.21,1,Accuracy,higher,final,0
2,2.207587480545044,1.9333797693252563,1.9235820770263672,0.2857142857142857,0.216,0.197,0.002,0.216,0.197,2,Accuracy,higher,final,0
3,2.0302271842956543,1.9303209781646729,1.918980598449707,0.35714285714285715,0.226,0.225,0.002,0.226,0.225,3,Accuracy,higher,final,0
4,2.0300369262695312,1.919248104095459,1.9078000783920288,0.25,0.128,0.147,0.002,0.226,0.225,3,Accuracy,higher,final,0
5,1.9765651226043701,1.9099574089050293,1.8988628387451172,0.17857142857142858,0.1,0.116,0.002,0.226,0.225,3,Accuracy,higher,final,0
6,2.0419976711273193,1.9021317958831787,1.8910883665084839,0.15,0.094,0.111,0.002,0.226,0.225,3,Accuracy,higher,final,0
7,2.04250431060791,1.892349362373352,1.8816455602645874,0.15714285714285714,0.094,0.113,0.002,0.226,0.225,3,Accuracy,higher,final,0
8,2.0032711029052734,1.886984944343567,1.8761396408081055,0.16428571428571428,0.094,0.112,0.002,0.226,0.225,3,Accuracy,higher,final,0
9,1.9991860389709473,1.8804525136947632,1.8703107833862305,0.17142857142857143,0.1,0.113,0.002,0.226,0.225,3,Accuracy,higher,final,0
10,2.104487895965576,1.8739746809005737,1.864495873451233,0.2357142857142857,0.106,0.132,0.002,0.226,0.225,3,Accuracy,higher,final,0
11,1.9953768253326416,1.8693106174468994,1.8598915338516235,0.34285714285714286,0.128,0.152,0.002,0.226,0.225,3,Accuracy,higher,final,0
12,2.0348329544067383,1.864200472831726,1.8548460006713867,0.45714285714285713,0.178,0.207,0.002,0.226,0.225,3,Accuracy,higher,final,0
13,1.9346777200698853,1.8648792505264282,1.8545985221862793,0.4785714285714286,0.2,0.219,0.002,0.226,0.225,3,Accuracy,higher,final,0
14,1.91802978515625,1.8627808094024658,1.8514504432678223,0.5357142857142857,0.23,0.258,0.002,0.23,0.258,14,Accuracy,higher,final,0
15,1.9338195323944092,1.8550846576690674,1.8429584503173828,0.5785714285714286,0.32,0.334,0.002,0.32,0.334,15,Accuracy,higher,final,0
16,2.013132095336914,1.8437144756317139,1.8308939933776855,0.6285714285714286,0.434,0.445,0.002,0.434,0.445,16,Accuracy,higher,final,0
17,1.8831987380981445,1.8306066989898682,1.8178486824035645,0.6785714285714286,0.488,0.51,0.002,0.488,0.51,17,Accuracy,higher,final,0
18,1.9194754362106323,1.8176831007003784,1.8052347898483276,0.6928571428571428,0.506,0.531,0.002,0.506,0.531,18,Accuracy,higher,final,0
