epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,2.163752555847168,2.000840663909912,1.9931961297988892,0.15,0.118,0.103,0.002,0.118,0.103,0,Accuracy,higher,final,0
1,2.123013734817505,1.940322995185852,1.932280421257019,0.2642857142857143,0.192,0.21,0.002,0.192,0.21,1,Accuracy,higher,final,0
2,2.207491159439087,1.9329017400741577,1.9231102466583252,0.2857142857142857,0.218,0.2,0.002,0.218,0.2,2,Accuracy,higher,final,0
3,2.030100107192993,1.9296878576278687,1.9183361530303955,0.35714285714285715,0.226,0.226,0.002,0.226,0.226,3,Accuracy,higher,final,0
4,2.0303127765655518,1.9185841083526611,1.9071277379989624,0.24285714285714285,0.13,0.145,0.002,0.226,0.226,3,Accuracy,higher,final,0
5,1.976252555847168,1.9093159437179565,1.8982152938842773,0.17857142857142858,0.104,0.116,0.002,0.226,0.226,3,Accuracy,higher,final,0
6,2.041797637939453,1.901510238647461,1.8904608488082886,0.15,0.094,0.111,0.002,0.226,0.226,3,Accuracy,higher,final,0
7,2.0430805683135986,1.891770362854004,1.881056785583496,0.15714285714285714,0.094,0.113,0.002,0.226,0.226,3,Accuracy,higher,final,0
8,2.0032753944396973,1.8865119218826294,1.8756457567214966,0.16428571428571428,0.094,0.112,0.002,0.226,0.226,3,Accuracy,higher,final,0
9,1.999263882637024,1.8800510168075562,1.8698742389678955,0.17142857142857143,0.098,0.114,0.002,0.226,0.226,3,Accuracy,higher,final,0
10,2.104185104370117,1.8736169338226318,1.864082932472229,0.22857142857142856,0.108,0.133,0.002,0.226,0.226,3,Accuracy,higher,final,0
11,1.9956974983215332,1.8690593242645264,1.8595783710479736,0.35,0.13,0.153,0.002,0.226,0.226,3,Accuracy,higher,final,0
12,2.034590721130371,1.8640954494476318,1.8546713590621948,0.4642857142857143,0.176,0.208,0.002,0.226,0.226,3,Accuracy,higher,final,0
13,1.9341762065887451,1.8648127317428589,1.8544716835021973,0.4857142857142857,0.202,0.227,0.002,0.226,0.226,3,Accuracy,higher,final,0
14,1.918761968612671,1.8628885746002197,1.851510763168335,0.5357142857142857,0.234,0.256,0.002,0.234,0.256,14,Accuracy,higher,final,0
15,1.9338915348052979,1.8555824756622314,1.843404769897461,0.5785714285714286,0.314,0.334,0.002,0.314,0.334,15,Accuracy,higher,final,0
16,2.013012170791626,1.8446744680404663,1.8317996263504028,0.6214285714285714,0.426,0.441,0.002,0.426,0.441,16,Accuracy,higher,final,0
17,1.8836349248886108,1.8320187330245972,1.8191896677017212,0.6714285714285714,0.484,0.5,0.002,0.484,0.5,17,Accuracy,higher,final,0
18,1.9200152158737183,1.8194314241409302,1.8069019317626953,0.6857142857142857,0.506,0.528,0.002,0.506,0.528,18,Accuracy,higher,final,0
19,1.8605372905731201,1.8096765279769897,1.7974739074707031,0.75,0.516,0.539,0.002,0.516,0.539,19,Accuracy,higher,final,0
20,1.9234915971755981,1.7956112623214722,1.7842035293579102,0.8357142857142857,0.558,0.575,0.002,0.558,0.575,20,Accuracy,higher,final,0
21,1.8947148323059082,1.781381607055664,1.7703750133514404,0.9285714285714286,0.622,0.642,0.002,0.622,0.642,21,Accuracy,higher,final,0
